env_name,test_id,naive_success,naive_path_length,naive_time,std_cp_success,std_cp_path_length,std_cp_collision,std_cp_tau,learn_cp_success,learn_cp_path_length,learn_cp_time,learn_cp_collision,learn_cp_tau,learn_cp_clearance
office01add,1,100.0,18.057993400480168,82.14156079292297,100.0,27.074268809639406,0.0,0.17,100.0,19.502039514486203,76.49052764137699,2.006707579014817,0.15993428306022464,0.7558331890597051
office01add,2,100.0,15.956152697429522,13.868167638778688,100.0,27.074268809639406,0.0,0.17,100.0,17.130802486715826,14.883806073764422,4.709581939159003,0.1472347139765763,0.7958774379401303
office01add,3,100.0,15.268325934069823,24.356443643569943,100.0,27.074268809639406,0.0,0.17,100.0,16.654569738989327,25.975867732644954,0.1504507391900285,0.18158425631014782,0.5675642178128478
office02,1,100.0,29.443971734214497,1.1046106815338137,80.0,37.43079051541903,0.0,0.17,100.0,32.31989245502413,1.0346677295055478,4.090875163964497,0.19534869458305817,0.8098105594387864
shopping_mall,1,100.0,46.72173245942026,108.7096781730652,100.0,30.583641528526115,0.0,0.17,100.0,51.0397373459419,111.14157661066433,3.5438542990097903,0.1848392454313207,0.7532102125489073
shopping_mall,2,100.0,49.51758943811216,69.23460865020752,100.0,30.583641528526115,0.0,0.17,100.0,53.0267622311921,67.38413155414825,3.5392767573239095,0.14173439510684405,0.7323430427279213
shopping_mall,3,100.0,50.77310578454907,34.54829239845276,100.0,30.583641528526115,0.0,0.17,100.0,56.08684070503296,35.18684550783732,2.428827807931942,0.20931297537843108,0.8078113623598262
room02,1,100.0,16.63708471541908,0.2477562427520752,96.66666666666667,19.396914574408513,0.0,0.17,100.0,17.847303474696226,0.2314303017135384,1.9622757404928084,0.1454844739902693,0.7501503102192955
room02,2,100.0,13.83687957212728,15.540185451507568,96.66666666666667,19.396914574408513,0.0,0.17,100.0,14.79153588784916,14.365466266689312,2.7992375313019933,0.1379872262016239,0.5842380948095348
room02,3,100.0,13.124860511835092,9.75074577331543,96.66666666666667,19.396914574408513,0.0,0.17,100.0,14.070940652440614,10.548981609415721,4.828057394423908,0.14416612500413445,0.8191565924144225
narrow_graph,1,100.0,27.918526380288064,19.054017782211304,53.333333333333336,41.16855449837621,0.0,0.17,100.0,31.219206700395,19.232021480855085,2.399659894110946,0.23645089824206378,0.45742711578715883
narrow_graph,2,100.0,28.140183848202494,2.9511590003967285,53.333333333333336,41.16855449837621,0.0,0.17,100.0,30.892056423903814,3.113551141990072,0.15207686117720698,0.19558312700057956,0.5066535472286329
narrow_graph,3,100.0,25.1090993518998,2.4136929512023926,53.333333333333336,41.16855449837621,0.0,0.17,100.0,28.056522587860407,2.1941566137712254,4.020085687904274,0.2347693315999082,0.5369927453519204
