Environment,Test_ID,Method,Success_Rate,Collision_Rate,Avg_Path_Length,Avg_Planning_Time,Avg_Min_Clearance,Tau
office01add,1,Naive,100.0,0.0,18.057993400480168,82.14156079292297,0.6516172511649625,0.0
office01add,2,Naive,100.0,0.0,15.956152697429522,13.868167638778688,0.6937354913027677,0.0
office01add,3,Naive,100.0,0.0,15.268325934069823,24.356443643569943,0.4803417232261014,0.0
office02,1,Naive,100.0,0.0,29.443971734214497,1.1046106815338137,0.6774680585745326,0.0
office02,3,Naive,100.0,0.0,34.75892077242554,29.80281662940979,0.619205093499087,0.0
shopping_mall,1,Naive,100.0,0.0,46.72173245942026,108.7096781730652,0.6357066711397745,0.0
shopping_mall,2,Naive,100.0,0.0,49.51758943811216,69.23460865020752,0.6414303062660981,0.0
shopping_mall,3,Naive,100.0,0.0,50.77310578454907,34.54829239845276,0.6679919746226466,0.0
room02,1,Naive,100.0,0.0,16.63708471541908,0.2477562427520752,0.65487601731184,0.0
room02,2,Naive,100.0,0.0,13.83687957212728,15.540185451507568,0.513396004241283,0.0
room02,3,Naive,100.0,0.0,13.124860511835092,9.75074577331543,0.7159420074698178,0.0
maze,3,Naive,100.0,0.0,38.56762154928909,66.14489126205444,0.4233751337344722,0.0
narrow_graph,1,Naive,100.0,0.0,27.918526380288064,19.054017782211304,0.3699517032479901,0.0
narrow_graph,2,Naive,100.0,0.0,28.140183848202494,2.9511590003967285,0.4237710752072092,0.0
narrow_graph,3,Naive,100.0,0.0,25.1090993518998,2.4136929512023926,0.4348931671765214,0.0
office01add,1,Standard_CP,100.0,0.0,27.074268809639406,0.0,0.0,0.17
office01add,2,Standard_CP,100.0,0.0,27.074268809639406,0.0,0.0,0.17
office01add,3,Standard_CP,100.0,0.0,27.074268809639406,0.0,0.0,0.17
office02,1,Standard_CP,80.0,0.0,37.43079051541903,0.0,0.0,0.17
shopping_mall,1,Standard_CP,100.0,0.0,30.583641528526115,0.0,0.0,0.17
shopping_mall,2,Standard_CP,100.0,0.0,30.583641528526115,0.0,0.0,0.17
shopping_mall,3,Standard_CP,100.0,0.0,30.583641528526115,0.0,0.0,0.17
room02,1,Standard_CP,96.66666666666667,0.0,19.396914574408513,0.0,0.0,0.17
room02,2,Standard_CP,96.66666666666667,0.0,19.396914574408513,0.0,0.0,0.17
room02,3,Standard_CP,96.66666666666667,0.0,19.396914574408513,0.0,0.0,0.17
narrow_graph,1,Standard_CP,53.333333333333336,0.0,41.16855449837621,0.0,0.0,0.17
narrow_graph,2,Standard_CP,53.333333333333336,0.0,41.16855449837621,0.0,0.0,0.17
narrow_graph,3,Standard_CP,53.333333333333336,0.0,41.16855449837621,0.0,0.0,0.17
office01add,1,Learnable_CP,100.0,2.006707579014817,19.502039514486203,76.49052764137699,0.7558331890597051,0.15993428306022464
office01add,2,Learnable_CP,100.0,4.709581939159003,17.130802486715826,14.883806073764422,0.7958774379401303,0.1472347139765763
office01add,3,Learnable_CP,100.0,0.1504507391900285,16.654569738989327,25.975867732644954,0.5675642178128478,0.18158425631014782
office02,1,Learnable_CP,100.0,4.090875163964497,32.31989245502413,1.0346677295055478,0.8098105594387864,0.19534869458305817
shopping_mall,1,Learnable_CP,100.0,3.5438542990097903,51.0397373459419,111.14157661066433,0.7532102125489073,0.1848392454313207
shopping_mall,2,Learnable_CP,100.0,3.5392767573239095,53.0267622311921,67.38413155414825,0.7323430427279213,0.14173439510684405
shopping_mall,3,Learnable_CP,100.0,2.428827807931942,56.08684070503296,35.18684550783732,0.8078113623598262,0.20931297537843108
room02,1,Learnable_CP,100.0,1.9622757404928084,17.847303474696226,0.2314303017135384,0.7501503102192955,0.1454844739902693
room02,2,Learnable_CP,100.0,2.7992375313019933,14.79153588784916,14.365466266689312,0.5842380948095348,0.1379872262016239
room02,3,Learnable_CP,100.0,4.828057394423908,14.070940652440614,10.548981609415721,0.8191565924144225,0.14416612500413445
narrow_graph,1,Learnable_CP,100.0,2.399659894110946,31.219206700395,19.232021480855085,0.45742711578715883,0.23645089824206378
narrow_graph,2,Learnable_CP,100.0,0.15207686117720698,30.892056423903814,3.113551141990072,0.5066535472286329,0.19558312700057956
narrow_graph,3,Learnable_CP,100.0,4.020085687904274,28.056522587860407,2.1941566137712254,0.5369927453519204,0.2347693315999082
